dataset,ue,IVIT,IVOT,OVOT
HLM_Fang2023,BASE,0.648 (0.051),0.653 (0.043),0.639 (0.051)
HLM_Fang2023,DE,0.637 (0.041),0.635 (0.045),0.608 (0.046)
HLM_Fang2023,EDL,0.562 (0.124),0.503 (0.134),0.592 (0.056)
HLM_Fang2023,JMQR,0.549 (0.160),0.521 (0.197),0.565 (0.118)
HLM_Fang2023,JQR,0.573 (0.140),0.468 (0.224),0.510 (0.191)
HLM_Fang2023,MCD,0.633 (0.053),0.658 (0.040),0.660 (0.050)
HLM_Fang2023,MVE,0.600 (0.061),0.545 (0.077),0.595 (0.063)
LD50_Lunghini2019,BASE,0.774 (0.023),0.671 (0.043),0.592 (0.094)
LD50_Lunghini2019,DE,0.773 (0.030),0.654 (0.036),0.617 (0.063)
LD50_Lunghini2019,EDL,0.751 (0.035),0.601 (0.143),0.537 (0.160)
LD50_Lunghini2019,JMQR,0.727 (0.023),0.604 (0.069),0.503 (0.098)
LD50_Lunghini2019,JQR,0.728 (0.036),0.604 (0.070),0.507 (0.114)
LD50_Lunghini2019,MCD,0.779 (0.021),0.659 (0.052),0.575 (0.131)
LD50_Lunghini2019,MVE,0.735 (0.042),0.614 (0.071),0.460 (0.072)
Lipophilicity_Wang2020,BASE,0.841 (0.027),0.822 (0.031),0.811 (0.030)
Lipophilicity_Wang2020,DE,0.830 (0.027),0.801 (0.035),0.781 (0.038)
Lipophilicity_Wang2020,EDL,0.830 (0.027),0.806 (0.024),0.768 (0.032)
Lipophilicity_Wang2020,JMQR,0.834 (0.025),0.818 (0.026),0.791 (0.030)
Lipophilicity_Wang2020,JQR,0.833 (0.028),0.813 (0.028),0.724 (0.181)
Lipophilicity_Wang2020,MCD,0.845 (0.024),0.822 (0.034),0.811 (0.027)
Lipophilicity_Wang2020,MVE,0.839 (0.027),0.816 (0.027),0.791 (0.050)
Permeability_Caco2_Wang2020,BASE,0.617 (0.113),0.561 (0.068),0.492 (0.126)
Permeability_Caco2_Wang2020,DE,0.651 (0.033),0.574 (0.039),0.532 (0.078)
Permeability_Caco2_Wang2020,EDL,0.524 (0.110),0.494 (0.080),0.423 (0.068)
Permeability_Caco2_Wang2020,JMQR,0.562 (0.111),0.483 (0.091),0.328 (0.102)
Permeability_Caco2_Wang2020,JQR,0.565 (0.104),0.460 (0.100),0.308 (0.129)
Permeability_Caco2_Wang2020,MCD,0.611 (0.114),0.582 (0.054),0.486 (0.130)
Permeability_Caco2_Wang2020,MVE,0.518 (0.132),0.491 (0.059),0.413 (0.114)
Permeability_MDCK_Fang2023,BASE,0.707 (0.039),0.675 (0.039),0.677 (0.033)
Permeability_MDCK_Fang2023,DE,0.625 (0.045),0.624 (0.035),0.616 (0.036)
Permeability_MDCK_Fang2023,EDL,0.581 (0.088),0.592 (0.103),0.626 (0.075)
Permeability_MDCK_Fang2023,JMQR,0.545 (0.121),0.478 (0.125),0.575 (0.084)
Permeability_MDCK_Fang2023,JQR,0.349 (0.263),0.464 (0.206),0.512 (0.133)
Permeability_MDCK_Fang2023,MCD,0.705 (0.038),0.677 (0.051),0.661 (0.055)
Permeability_MDCK_Fang2023,MVE,0.590 (0.067),0.580 (0.098),0.642 (0.052)
RLM_Fang2023,BASE,0.730 (0.023),0.728 (0.035),0.731 (0.032)
RLM_Fang2023,DE,0.709 (0.022),0.711 (0.033),0.701 (0.025)
RLM_Fang2023,EDL,0.688 (0.036),0.694 (0.044),0.682 (0.046)
RLM_Fang2023,JMQR,0.713 (0.034),0.700 (0.049),0.706 (0.040)
RLM_Fang2023,JQR,0.675 (0.127),0.709 (0.044),0.705 (0.039)
RLM_Fang2023,MCD,0.725 (0.028),0.719 (0.042),0.727 (0.035)
RLM_Fang2023,MVE,0.721 (0.029),0.707 (0.059),0.701 (0.038)
Solubility_Wang2020,BASE,0.901 (0.006),0.853 (0.025),0.847 (0.029)
Solubility_Wang2020,DE,0.890 (0.007),0.835 (0.025),0.754 (0.141)
Solubility_Wang2020,EDL,0.893 (0.007),0.849 (0.025),0.823 (0.031)
Solubility_Wang2020,JMQR,0.897 (0.008),0.851 (0.025),0.839 (0.028)
Solubility_Wang2020,JQR,0.898 (0.008),0.850 (0.024),0.840 (0.027)
Solubility_Wang2020,MCD,0.898 (0.007),0.853 (0.024),0.846 (0.028)
Solubility_Wang2020,MVE,0.896 (0.007),0.853 (0.024),0.790 (0.149)
VDss_Liu2022,BASE,0.802 (0.023),0.696 (0.069),0.711 (0.047)
VDss_Liu2022,DE,0.839 (0.020),0.693 (0.052),0.681 (0.045)
VDss_Liu2022,EDL,0.742 (0.039),0.692 (0.041),0.674 (0.070)
VDss_Liu2022,JMQR,0.777 (0.030),0.692 (0.051),0.702 (0.054)
VDss_Liu2022,JQR,0.772 (0.037),0.706 (0.053),0.636 (0.161)
VDss_Liu2022,MCD,0.802 (0.026),0.703 (0.056),0.718 (0.053)
VDss_Liu2022,MVE,0.774 (0.031),0.696 (0.051),0.675 (0.075)
hPPB_Lou2022,BASE,0.869 (0.038),0.825 (0.035),0.775 (0.078)
hPPB_Lou2022,DE,0.883 (0.020),0.829 (0.037),0.795 (0.063)
hPPB_Lou2022,EDL,0.799 (0.070),0.810 (0.057),0.754 (0.086)
hPPB_Lou2022,JMQR,0.873 (0.023),0.826 (0.042),0.782 (0.099)
hPPB_Lou2022,JQR,0.867 (0.021),0.824 (0.044),0.782 (0.089)
hPPB_Lou2022,MCD,0.876 (0.026),0.829 (0.034),0.771 (0.081)
hPPB_Lou2022,MVE,0.814 (0.049),0.790 (0.050),0.679 (0.141)
